tape_id,family,relative_time,category,imbalance,prefix_hash,sb_inventory,allocation_a,service_rule_spt_full,service_rule_fifo_partial,service_rule_r24_age_partial,day_phase,cssu_A_inventory,cssu_A_inbound,cssu_A_outbound,cssu_A_backlog_qty,cssu_A_backlog_count,cssu_A_max_age,cssu_A_r24_share,cssu_A_demand_1d,cssu_A_demand_7d,cssu_A_delivered_7d,cssu_A_op10_up,cssu_A_op11_up,cssu_A_op12_up,cssu_B_inventory,cssu_B_inbound,cssu_B_outbound,cssu_B_backlog_qty,cssu_B_backlog_count,cssu_B_max_age,cssu_B_r24_share,cssu_B_demand_1d,cssu_B_demand_7d,cssu_B_delivered_7d,cssu_B_op10_up,cssu_B_op11_up,cssu_B_op12_up
dra1-cal-r23_localized-830040,r23_localized,10848.0,post_hit_recovery,86923.0,0e5a5cffbd593ef2139c272c2eeb591e430e9753cc1323400b03cf777bdeaf08,66211.0,0.25,1.0,0.0,0.0,0.19047619047619047,0.0,0.0,2527.0,117720.0,46.0,10680.0,0.0,0.0,2594.0,7471.0,1.0,1.0,1.0,0.0,2474.0,0.0,30797.0,12.0,7968.0,0.0,2474.0,12582.0,5013.0,1.0,1.0,1.0
dra1-cal-r23_localized-830041,r23_localized,9888.0,post_hit_recovery,68669.0,d508dbcfb310ff4817ff6de80a187c700448387348393735cc0b7cab0f164213,65471.0,0.25,1.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,109784.0,43.0,9744.0,0.0,0.0,10038.0,2409.0,1.0,1.0,1.0,0.0,2414.0,14974.0,41115.0,16.0,8568.0,0.0,2414.0,4974.0,0.0,1.0,1.0,1.0
dra1-cal-r23_localized-830042,r23_localized,12072.0,post_hit_recovery,83922.0,aaf4d9774b3ace81bab2fe2311a1ce127985ec673b7a56f49acb336c7fea931c,100491.0,0.25,1.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,117205.0,46.0,12048.0,0.0,0.0,9979.0,2476.0,1.0,1.0,1.0,0.0,2435.0,2473.0,33283.0,13.0,9048.0,0.0,2435.0,4908.0,2436.0,1.0,1.0,1.0
dra1-cal-r23_localized-830043,r23_localized,8472.0,post_hit_recovery,35432.0,03411e902b6c01ac57d25c98636ab99dae3d71e13a0869dc34d7045a1adcfb2a,45273.0,0.25,1.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,92133.0,36.0,8328.0,0.0,0.0,5040.0,0.0,1.0,1.0,1.0,0.0,2522.0,2425.0,56701.0,22.0,8136.0,0.0,0.0,9990.0,14785.0,1.0,1.0,1.0
dra1-cal-r23_localized-830044,r23_localized,16776.0,post_hit_recovery,145359.0,f34d3900329c9da7ab4f4be84b9f6144f63a530128a14bb54b54962370f1c90d,64233.0,0.25,1.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,147853.0,58.0,15864.0,0.0,0.0,9867.0,7359.0,1.0,1.0,1.0,0.0,2473.0,0.0,2494.0,1.0,24.0,0.0,2494.0,4967.0,10058.0,1.0,1.0,1.0
dra1-cal-r23_localized-830045,r23_localized,15816.0,post_hit_recovery,134971.0,bf20697174dc19da5b130f52e4fa4e6d9f5a17adc19b3be211c09188bbec8c16,75771.0,0.25,1.0,0.0,0.0,0.7619047619047619,0.0,0.0,2475.0,142561.0,56.0,15528.0,0.0,0.0,7351.0,9747.0,1.0,1.0,1.0,0.0,2480.0,0.0,7590.0,3.0,192.0,0.0,2480.0,7520.0,2539.0,1.0,1.0,1.0
dra1-cal-r24_mixed-830046,r24_mixed,1608.0,localized_r24_both_up,67589.0,61b17c0a44c3aa11313f8fc3ba6c95c1bd46d2baa1f2871e82df415c44739f70,95184.0,0.25,1.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,94949.0,36.0,1584.0,0.1047299076346249,2589.0,12726.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,27360.0,10.0,768.0,0.17642543859649124,0.0,4914.0,0.0,1.0,1.0,1.0
dra1-cal-r24_mixed-830047,r24_mixed,7656.0,localized_r24_both_up,54491.0,1e481b2d158fcb0569e7cb3547af4ae61a18bb802154388d5a353f7787fd0ee8,502903.0,0.25,1.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,115466.0,39.0,7488.0,0.3485874629761142,4990.0,14983.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,60975.0,21.0,6360.0,0.3253792537925379,0.0,2596.0,0.0,1.0,1.0,1.0
dra1-cal-r24_mixed-830048,r24_mixed,3480.0,localized_r24_both_up,119273.0,966732b8098d2d81a91bac4d5581c30049bb01ea5d7067aef59692cba13b2034,133019.0,0.25,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,22389.0,8.0,528.0,0.22569118763678592,0.0,5102.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,141662.0,52.0,3192.0,0.1772599567985769,4898.0,12316.0,0.0,1.0,1.0,1.0
dra1-cal-r24_mixed-830049,r24_mixed,2448.0,localized_r24_both_up,77934.0,d202abe9fb581bce4dfb7650c1869c62d2db87a4b32ba83c0da713234bfe33f5,107843.0,0.25,1.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,36882.0,14.0,840.0,0.13581150696816877,0.0,2468.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,114816.0,43.0,2376.0,0.12942447045707917,2568.0,14901.0,0.0,1.0,1.0,1.0
