state_id,campaign_id,campaign_sha256,family,risk_level,buffer_level,reference_shift,decision_week,branch_action,branch_shift,late_backlog_hours_increment,total_backlog_hours_increment,shift_hours_increment,extra_shift_hours_increment,ret_excel_final,obs_buffer_level_fraction,obs_effective_shift_fraction,obs_pending_shift_fraction,obs_raw_material_wdc,obs_raw_material_al,obs_rations_al,obs_rations_sb,obs_rations_sb_dispatch,obs_rations_cssu,obs_rations_theatre,obs_pending_batch,obs_in_transit,obs_pending_backorder_qty,obs_pending_backorder_count,obs_oldest_backorder_age_hours,obs_previous_week_demanded,obs_previous_week_produced,obs_previous_week_delivered,obs_rolling_fill_rate_4w,obs_previous_week_capacity_utilization,obs_fraction_operations_down,obs_previous_week_downtime_hours,obs_week_phase_sin,obs_week_phase_cos
I0:l-cal-005-700005:w1,l-cal-005-700005,d332c6f27021ce9113ce909575ca79b7ed43eb61567b2cf62aa356afba093971,mixed,increased,0,2,1,0,1,7749630.0,11007990.0,1176.0,504.0,0.0037240500173732105,0.0,0.0,0.5,1914372.0,152766.0,0.0,2615.0,0.0,0.0,0.0,2738.5,4859.0,0.0,0.0,0.0,12385.0,10046.5,7526.0,1.0,0.6669432520866394,0.0,6.111408710479736,0.1205366775393486,0.9927088618278503
I0:l-cal-005-700005:w1,l-cal-005-700005,d332c6f27021ce9113ce909575ca79b7ed43eb61567b2cf62aa356afba093971,mixed,increased,0,2,1,1,2,7148742.0,10407102.0,1344.0,672.0,0.0038885170719073553,0.0,0.0,0.5,1914372.0,152766.0,0.0,2615.0,0.0,0.0,0.0,2738.5,4859.0,0.0,0.0,0.0,12385.0,10046.5,7526.0,1.0,0.6669432520866394,0.0,6.111408710479736,0.1205366775393486,0.9927088618278503
I0:l-cal-005-700005:w1,l-cal-005-700005,d332c6f27021ce9113ce909575ca79b7ed43eb61567b2cf62aa356afba093971,mixed,increased,0,2,1,2,3,7758884.0,11017244.0,1512.0,840.0,0.0037530002014800686,0.0,0.0,0.5,1914372.0,152766.0,0.0,2615.0,0.0,0.0,0.0,2738.5,4859.0,0.0,0.0,0.0,12385.0,10046.5,7526.0,1.0,0.6669432520866394,0.0,6.111408710479736,0.1205366775393486,0.9927088618278503
I0:l-cal-005-700005:w99,l-cal-005-700005,d332c6f27021ce9113ce909575ca79b7ed43eb61567b2cf62aa356afba093971,mixed,increased,0,2,99,0,1,327150084.0,330213588.0,1176.0,504.0,0.002984994652532876,0.0,0.5,0.5,1908000.0,0.0,0.0,2615.0,0.0,0.0,0.0,2931.5,4976.0,149860.0,59.0,13176.0,17743.0,15500.0,10038.0,0.6209790706634521,0.5314498543739319,0.07692307978868484,269.1622314453125,-0.5680647492408752,0.8229838609695435
I0:l-cal-005-700005:w99,l-cal-005-700005,d332c6f27021ce9113ce909575ca79b7ed43eb61567b2cf62aa356afba093971,mixed,increased,0,2,99,1,2,327150084.0,330213588.0,1344.0,672.0,0.002984994652532876,0.0,0.5,0.5,1908000.0,0.0,0.0,2615.0,0.0,0.0,0.0,2931.5,4976.0,149860.0,59.0,13176.0,17743.0,15500.0,10038.0,0.6209790706634521,0.5314498543739319,0.07692307978868484,269.1622314453125,-0.5680647492408752,0.8229838609695435
I0:l-cal-005-700005:w99,l-cal-005-700005,d332c6f27021ce9113ce909575ca79b7ed43eb61567b2cf62aa356afba093971,mixed,increased,0,2,99,2,3,328179472.0,331242976.0,1512.0,840.0,0.0029669517504284804,0.0,0.5,0.5,1908000.0,0.0,0.0,2615.0,0.0,0.0,0.0,2931.5,4976.0,149860.0,59.0,13176.0,17743.0,15500.0,10038.0,0.6209790706634521,0.5314498543739319,0.07692307978868484,269.1622314453125,-0.5680647492408752,0.8229838609695435
I0:l-cal-006-700006:w1,l-cal-006-700006,c4ffa94f05917bd9b7a1e3bbdee45f056e3ab65403700d50c5c795cc0e545d2b,R1,current,0,2,1,0,1,3523190.0,6406886.0,1176.0,504.0,0.0050627315646333305,0.0,0.0,0.5,1911348.0,151884.0,0.0,2692.0,0.0,0.0,0.0,3064.0,4892.0,0.0,0.0,0.0,12308.0,10372.0,7416.0,1.0,0.6742069721221924,0.0,1.7909899950027466,0.1205366775393486,0.9927088618278503
I0:l-cal-006-700006:w1,l-cal-006-700006,c4ffa94f05917bd9b7a1e3bbdee45f056e3ab65403700d50c5c795cc0e545d2b,R1,current,0,2,1,1,2,3523190.0,6406886.0,1344.0,672.0,0.0050627315646333305,0.0,0.0,0.5,1911348.0,151884.0,0.0,2692.0,0.0,0.0,0.0,3064.0,4892.0,0.0,0.0,0.0,12308.0,10372.0,7416.0,1.0,0.6742069721221924,0.0,1.7909899950027466,0.1205366775393486,0.9927088618278503
I0:l-cal-006-700006:w1,l-cal-006-700006,c4ffa94f05917bd9b7a1e3bbdee45f056e3ab65403700d50c5c795cc0e545d2b,R1,current,0,2,1,2,3,4686758.0,7570454.0,1512.0,840.0,0.004872315087520162,0.0,0.0,0.5,1911348.0,151884.0,0.0,2692.0,0.0,0.0,0.0,3064.0,4892.0,0.0,0.0,0.0,12308.0,10372.0,7416.0,1.0,0.6742069721221924,0.0,1.7909899950027466,0.1205366775393486,0.9927088618278503
I0:l-cal-006-700006:w99,l-cal-006-700006,c4ffa94f05917bd9b7a1e3bbdee45f056e3ab65403700d50c5c795cc0e545d2b,R1,current,0,2,99,0,1,197252354.0,200142386.0,1176.0,504.0,0.004162137855363342,0.0,0.5,0.5,2280000.0,34116.0,0.0,5485.0,0.0,0.0,0.0,878.0,9828.0,151490.0,59.0,16032.0,14901.0,12657.0,12463.0,0.7436984777450562,0.4113689661026001,0.0,25.0,-0.5680647492408752,0.8229838609695435
