op3_inventory_target,op5_inventory_target,op9_inventory_target,risk_frequency_scale,risk_impact_scale,demand_level
70217.14285714286,35108.571428571435,18000.000000000004,1.5714285714285714,1.7857142857142858,0.75
70217.14285714286,105325.71428571429,18000.000000000004,1.5714285714285714,1.7857142857142858,0.75
70217.14285714286,105325.71428571429,18000.000000000004,1.5714285714285714,1.7857142857142858,1.1785714285714286
70217.14285714286,105325.71428571429,90000.0,1.5714285714285714,1.7857142857142858,1.1785714285714286
35108.571428571435,17554.285714285717,0.0,0.7142857142857143,0.9285714285714286,0.8571428571428572
35108.571428571435,87771.42857142858,0.0,0.7142857142857143,0.9285714285714286,0.8571428571428572
105325.71428571429,87771.42857142858,0.0,0.7142857142857143,0.9285714285714286,0.8571428571428572
105325.71428571429,87771.42857142858,0.0,0.7142857142857143,1.7857142857142858,0.8571428571428572
105325.71428571429,87771.42857142858,72000.0,0.7142857142857143,1.7857142857142858,0.8571428571428572
105325.71428571429,87771.42857142858,72000.0,0.7142857142857143,1.7857142857142858,1.2857142857142856
105325.71428571429,87771.42857142858,72000.0,1.5714285714285714,1.7857142857142858,1.2857142857142856
52662.857142857145,0.0,18000.000000000004,0.9285714285714286,0.9285714285714286,0.9642857142857143
52662.857142857145,0.0,18000.000000000004,0.9285714285714286,0.9285714285714286,1.3928571428571428
52662.857142857145,0.0,18000.000000000004,1.7857142857142858,0.9285714285714286,1.3928571428571428
52662.857142857145,0.0,18000.000000000004,1.7857142857142858,1.7857142857142858,1.3928571428571428
52662.857142857145,0.0,90000.0,1.7857142857142858,1.7857142857142858,1.3928571428571428
52662.857142857145,70217.14285714286,90000.0,1.7857142857142858,1.7857142857142858,1.3928571428571428
122880.0,70217.14285714286,90000.0,1.7857142857142858,1.7857142857142858,1.3928571428571428
17554.285714285717,52662.857142857145,54000.00000000001,0.5,0.9285714285714286,0.75
87771.42857142858,52662.857142857145,54000.00000000001,0.5,0.9285714285714286,0.75
87771.42857142858,122880.0,54000.00000000001,0.5,0.9285714285714286,0.75
87771.42857142858,122880.0,54000.00000000001,0.5,1.7857142857142858,0.75
87771.42857142858,122880.0,54000.00000000001,0.5,1.7857142857142858,1.1785714285714286
87771.42857142858,122880.0,54000.00000000001,1.3571428571428572,1.7857142857142858,1.1785714285714286
87771.42857142858,122880.0,126000.0,1.3571428571428572,1.7857142857142858,1.1785714285714286
0.0,35108.571428571435,0.0,0.7142857142857143,0.9285714285714286,1.0714285714285714
0.0,35108.571428571435,0.0,0.7142857142857143,0.9285714285714286,1.5
0.0,35108.571428571435,0.0,1.5714285714285714,0.9285714285714286,1.5
70217.14285714286,35108.571428571435,0.0,1.5714285714285714,0.9285714285714286,1.5
70217.14285714286,105325.71428571429,0.0,1.5714285714285714,0.9285714285714286,1.5
70217.14285714286,105325.71428571429,72000.0,1.5714285714285714,0.9285714285714286,1.5
70217.14285714286,105325.71428571429,72000.0,1.5714285714285714,1.7857142857142858,1.5
