policy,kind,order_ret_excel,order_level_ret_mean,flow_fill_rate,terminal_rolling_fill_rate_4w,ret_garrido2024_sigmoid_mean,assembly_cost_index,order_service_loss_auc_per_order,order_ctj_p99,order_rpj_p99,order_dpj_p99,pareto_nondominated_ret_cost_tail_flow
S2_op10_1.50_op12_2.00,dense_static,0.0053438231663617,0.00513405079283,0.6397701334283259,0.8598530580600103,0.7480840370947304,0.6666666666666666,1225423.180334657,8105.537234511759,2275.3379712447268,8105.537234511759,False
S2_op10_2.00_op12_1.00,dense_static,0.0053263222474664,0.0051163569950057,0.6791721241743083,0.885326886177063,0.723086848114705,0.6666666666666666,1585757.9225064688,8987.745854098286,2445.9606023270435,8987.745854098286,False
S2_op10_1.00_op12_1.00,dense_static,0.005319507213256,0.0051116059853417,0.6764912049604772,0.8495318156977495,0.7219940240224554,0.6666666666666666,1597933.6609439435,8644.212186295541,2244.977062761625,8644.212186295541,False
S3_op10_1.00_op12_1.00,dense_static,0.0053085084026609,0.0050990744605121,0.6791135861819949,0.8278768544395765,0.8005564065734113,1.0,1457512.598390042,8964.735525672973,2447.4588145458383,8964.735525672973,False
S3_op10_2.00_op12_1.00,dense_static,0.0053061829490885,0.0050979052395876,0.6733667561910102,0.8045170982678732,0.7971087027409628,1.0,1589565.3592554112,9566.508317758631,2455.0003318516506,9566.508317758631,False
S2_op10_2.50_op12_1.00,dense_static,0.0053024976566427,0.005094794434254,0.6794803005973227,0.8592825730641683,0.7288074397082397,0.6666666666666666,1509054.6561416532,8167.718106317986,2133.5328079845194,8167.718106317986,True
S3_op10_2.50_op12_1.00,dense_static,0.0052938696315272,0.0050867574955653,0.6609312796159141,0.8208132266998291,0.7967301257342548,1.0,1560600.295519937,8805.910966970057,2261.1405643957382,8805.910966970057,False
S2_op10_1.25_op12_1.00,dense_static,0.0052842572777473,0.0050776507692565,0.6682554287781283,0.8701580067475637,0.7260381914969446,0.6666666666666666,1537116.5120391597,8124.096364532428,2116.008863540729,8124.096364532428,False
S2_op10_1.50_op12_1.00,dense_static,0.0052820309954482,0.0050750397493867,0.6806352303444612,0.9279486527045568,0.7162080520524166,0.6666666666666666,1733797.5197448689,9322.50502176546,2502.243079281671,9322.50502176546,False
S3_op10_1.25_op12_1.00,dense_static,0.005273403276966,0.0050656518333893,0.663546880070952,0.8922084093093872,0.7966142864481869,1.0,1602595.2805099788,8859.426552930154,2409.6302973454317,8859.426552930154,False
S1_op10_1.00_op12_1.50,dense_static,0.0045877895421206,0.0044130176534553,0.4708359114487471,0.6962318401783705,0.3277632351331575,0.3333333333333333,4400894.356028143,7441.252378561921,1910.6672074291416,7441.252378561921,True
S1_op10_1.25_op12_2.00,dense_static,0.0045797508120342,0.0044053501566922,0.4597207810473963,0.6351684957742691,0.3266538528245583,0.3333333333333333,4360514.502283843,7429.283044042642,1811.3317833717408,7429.283044042642,True
S1_op10_1.50_op12_1.00,dense_static,0.0045676287356999,0.0043928364400722,0.4775832965624644,0.6878859952092171,0.3358422322758524,0.3333333333333333,4259319.698754117,7672.145381874737,2029.929426930857,7672.145381874737,True
S1_op10_2.00_op12_1.00,dense_static,0.0045643136456481,0.0043891181649007,0.4969490266443481,0.6345183826982975,0.328940586840261,0.3333333333333333,4318348.3066149065,6057.778032198325,1647.2048715617725,6057.778032198325,True
S1_op10_1.00_op12_2.50,dense_static,0.0045626522546674,0.004389113979275,0.4658335579074196,0.7165822525819142,0.3260859651637469,0.3333333333333333,4438126.109039572,6738.905223956177,1760.5111625707832,6738.905223956177,False
S1_op10_1.00_op12_1.00,dense_static,0.0045589196117006,0.0043849843732281,0.482449084649254,0.6851843419795236,0.3198408687641242,0.3333333333333333,4374605.152737977,7900.159073026183,1926.853619774889,7900.159073026183,False
