seed,algo,reward_mode,reward_family,w_bo,w_cost,w_disr,episode_index,timesteps,progress_fraction,episode_reward,episode_length,time_elapsed_seconds
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,40,36400,0.364,448.879996,910,72.111652
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,41,37310,0.3731,471.931758,910,73.985019
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,42,38220,0.3822,477.679269,910,75.79352
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,43,39130,0.3913,451.263342,910,77.56374
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,44,40040,0.4004,454.730364,910,79.341003
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,45,40950,0.4095,433.672134,910,80.894254
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,46,41860,0.4186,449.13757,910,82.745749
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,47,42770,0.4277,441.390908,910,84.564039
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,48,43680,0.4368,458.457182,910,86.340097
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,49,44590,0.4459,444.046296,910,88.08738
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,50,45500,0.455,441.532445,910,89.9782
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,51,46410,0.4641,471.157663,910,91.837385
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,52,47320,0.4732,463.969337,910,93.712092
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,53,48230,0.4823,473.020937,910,95.515962
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,54,49140,0.4914,432.105604,910,97.013262
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,55,50050,0.5005,443.601808,910,98.856988
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,56,50960,0.5096,451.709311,910,100.68898
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,57,51870,0.5187,445.225648,910,102.517742
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,58,52780,0.5278,445.019968,910,104.273112
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,59,53690,0.5369,477.050034,910,106.033641
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,60,54600,0.546,444.662477,910,107.85749
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,61,55510,0.5551,441.091759,910,109.641902
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,62,56420,0.5642,453.242576,910,111.476983
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,63,57330,0.5733,427.971,910,112.986768
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,64,58240,0.5824,427.615909,910,114.702805
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,65,59150,0.5915,424.758635,910,116.516021
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,66,60060,0.6006,433.902573,910,118.420294
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,67,60970,0.6097,459.119564,910,120.288945
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,68,61880,0.6188,473.23708,910,122.038767
