family,state_id,tape_id,decision_week,prefix,horizon_weeks,action,ret_excel,service_loss,lost_orders,resource,mass_residual
production,production|1100008|w12|pS2,1100008,12,S2,8,S2,0.005559612509630391,70070736.0,0.0,1344.0,0.0
production,production|1100008|w12|pS2,1100008,12,S2,8,S3,0.005703136609482999,71133264.0,0.0,2688.0,0.0
production,production|1100008|w24|pS3,1100008,24,S3,4,S1,0.005418270804265157,89176836.0,0.0,0.0,0.0
production,production|1100008|w24|pS3,1100008,24,S3,4,S2,0.005427895602133565,89177094.0,0.0,672.0,0.0
production,production|1100008|w24|pS3,1100008,24,S3,4,S3,0.005475063604223979,94841238.0,0.0,1344.0,0.0
production,production|1100008|w24|pS3,1100008,24,S3,8,S1,0.0054236829101765305,89926518.0,0.0,0.0,0.0
production,production|1100008|w24|pS3,1100008,24,S3,8,S2,0.005478511965443613,90364404.0,0.0,1344.0,0.0
production,production|1100008|w24|pS3,1100008,24,S3,8,S3,0.005414920887178932,110945814.0,0.0,2688.0,0.0
production,production|1100008|w36|pS1,1100008,36,S1,4,S1,0.005203882719925597,427873074.0,0.0,0.0,0.0
production,production|1100008|w36|pS1,1100008,36,S1,4,S2,0.005189938288594536,427873128.0,0.0,672.0,0.0
production,production|1100008|w36|pS1,1100008,36,S1,4,S3,0.005203028538768088,427873074.0,0.0,1344.0,0.0
production,production|1100008|w36|pS1,1100008,36,S1,8,S1,0.0051412411757506965,488476776.0,0.0,0.0,0.0
production,production|1100008|w36|pS1,1100008,36,S1,8,S2,0.0050501402143701074,487443402.0,0.0,1344.0,0.0
production,production|1100008|w36|pS1,1100008,36,S1,8,S3,0.005072683161637802,487197324.0,0.0,2688.0,0.0
production,production|1100008|w44|pS2,1100008,44,S2,4,S1,0.005772862761736165,82354578.0,0.0,0.0,0.0
production,production|1100008|w44|pS2,1100008,44,S2,4,S2,0.005735224759147637,82354578.0,0.0,672.0,0.0
production,production|1100008|w44|pS2,1100008,44,S2,4,S3,0.005778850706225296,82354578.0,0.0,1344.0,0.0
production,production|1100008|w44|pS2,1100008,44,S2,8,S1,0.005772060977991598,82747524.0,0.0,0.0,0.0
production,production|1100008|w44|pS2,1100008,44,S2,8,S2,0.005713468510916312,82746966.0,0.0,1344.0,0.0
production,production|1100008|w44|pS2,1100008,44,S2,8,S3,0.005734307700963569,82747074.0,0.0,2688.0,0.0
production,production|1100009|w12|pS3,1100009,12,S3,4,S1,0.004249222970020266,162485112.0,0.0,0.0,0.0
production,production|1100009|w12|pS3,1100009,12,S3,4,S2,0.0043187028187651475,162485112.0,0.0,672.0,0.0
production,production|1100009|w12|pS3,1100009,12,S3,4,S3,0.004348676371987528,162485112.0,0.0,1344.0,0.0
production,production|1100009|w12|pS3,1100009,12,S3,8,S1,0.0043546516309013955,220833960.0,0.0,0.0,0.0
production,production|1100009|w12|pS3,1100009,12,S3,8,S2,0.00450708402627584,220758126.0,0.0,1344.0,0.0
production,production|1100009|w12|pS3,1100009,12,S3,8,S3,0.004592175329311106,221987508.0,0.0,2688.0,0.0
production,production|1100009|w24|pS1,1100009,24,S1,4,S1,0.0039493056815716925,402961296.0,0.0,0.0,0.0
production,production|1100009|w24|pS1,1100009,24,S1,4,S2,0.0039204197643024664,398415120.0,0.0,672.0,0.0
production,production|1100009|w24|pS1,1100009,24,S1,4,S3,0.0038925485818223377,398652810.0,0.0,1344.0,0.0
production,production|1100009|w24|pS1,1100009,24,S1,8,S1,0.004212960921117584,493960242.0,0.0,0.0,0.0
production,production|1100009|w24|pS1,1100009,24,S1,8,S2,0.0041248349147424155,476873304.0,0.0,1344.0,0.0
production,production|1100009|w24|pS1,1100009,24,S1,8,S3,0.004126822163662185,481016766.0,0.0,2688.0,0.0
production,production|1100009|w36|pS2,1100009,36,S2,4,S1,0.0043378476276561976,546548694.0,0.0,0.0,0.0
production,production|1100009|w36|pS2,1100009,36,S2,4,S2,0.004395191312899176,547041432.0,0.0,672.0,0.0
production,production|1100009|w36|pS2,1100009,36,S2,4,S3,0.004336913115055378,546549288.0,0.0,1344.0,0.0
production,production|1100009|w36|pS2,1100009,36,S2,8,S1,0.004367823499735487,606739608.0,0.0,0.0,0.0
production,production|1100009|w36|pS2,1100009,36,S2,8,S2,0.004495647804091317,610390350.0,0.0,1344.0,0.0
production,production|1100009|w36|pS2,1100009,36,S2,8,S3,0.004405873989552592,606508686.0,0.0,2688.0,0.0
production,production|1100009|w44|pS3,1100009,44,S3,4,S1,0.004882772482674188,534206802.0,0.0,0.0,0.0
production,production|1100009|w44|pS3,1100009,44,S3,4,S2,0.004928478516892789,534206604.0,0.0,672.0,0.0
production,production|1100009|w44|pS3,1100009,44,S3,4,S3,0.004924673617295851,534207006.0,0.0,1344.0,0.0
production,production|1100009|w44|pS3,1100009,44,S3,8,S1,0.004750121026767464,560574804.0,0.0,0.0,0.0
production,production|1100009|w44|pS3,1100009,44,S3,8,S2,0.00489540933167135,559891692.0,0.0,1344.0,0.0
production,production|1100009|w44|pS3,1100009,44,S3,8,S3,0.004897623789870498,560265060.0,0.0,2688.0,0.0
production,production|1100010|w12|pS1,1100010,12,S1,4,S1,0.0050743319244135965,121750146.0,0.0,0.0,0.0
production,production|1100010|w12|pS1,1100010,12,S1,4,S2,0.005108333970232339,121690746.0,0.0,672.0,0.0
production,production|1100010|w12|pS1,1100010,12,S1,4,S3,0.005108333970232339,121690746.0,0.0,1344.0,0.0
production,production|1100010|w12|pS1,1100010,12,S1,8,S1,0.004948512248536032,187983582.0,0.0,0.0,0.0
production,production|1100010|w12|pS1,1100010,12,S1,8,S2,0.004653468595158116,183174126.0,0.0,1344.0,0.0
production,production|1100010|w12|pS1,1100010,12,S1,8,S3,0.004680511424122463,183463632.0,0.0,2688.0,0.0
production,production|1100010|w24|pS2,1100010,24,S2,4,S1,0.005333269069439477,104750088.0,0.0,0.0,0.0
production,production|1100010|w24|pS2,1100010,24,S2,4,S2,0.005274831830364395,104750490.0,0.0,672.0,0.0
production,production|1100010|w24|pS2,1100010,24,S2,4,S3,0.005234819669827315,104750316.0,0.0,1344.0,0.0
production,production|1100010|w24|pS2,1100010,24,S2,8,S1,0.005330677810947911,111411696.0,0.0,0.0,0.0
production,production|1100010|w24|pS2,1100010,24,S2,8,S2,0.005342225514854723,110321010.0,0.0,1344.0,0.0
production,production|1100010|w24|pS2,1100010,24,S2,8,S3,0.005293222802829014,110896986.0,0.0,2688.0,0.0
production,production|1100010|w36|pS3,1100010,36,S3,4,S1,0.0053106683379962145,140383638.0,0.0,0.0,0.0
