comparator,n_pairs,ppo_mean,comparator_mean,delta_mean,delta_ci95_low,delta_ci95_high,paired_cohens_d,ppo_wins,ppo_wins_ci95
S2_op10_1.50_op12_2.50,60,0.005892652189433801,0.005414947971524466,0.00047770421790933486,0.0004445260593303357,0.0005123870362155603,3.5978922210371085,True,True
S2_op10_2.00_op12_0.50,60,0.005892652189433801,0.0023201359996582378,0.0035725161897755633,0.00353520746347185,0.003609426029830828,23.072868625939666,True,True
S2_op10_2.00_op12_1.00,60,0.005892652189433801,0.005326322247466401,0.0005663299419674,0.000524455082753724,0.0006105576739355051,3.3064495964651908,True,True
S2_op10_2.00_op12_1.50,60,0.005892652189433801,0.005466255661232143,0.00042639652820165836,0.00038864857959113784,0.0004630431845628497,2.8705474060737086,True,True
S2_op10_2.00_op12_2.00,60,0.005892652189433801,0.005371991488803657,0.0005206607006301451,0.00048621141613675424,0.0005569215995943943,3.697161724294149,True,True
S2_op10_2.00_op12_2.50,60,0.005892652189433801,0.005356525971495201,0.0005361262179385998,0.0005048945566633828,0.0005671585561861861,4.314759585934223,True,True
S2_op10_2.50_op12_0.50,60,0.005892652189433801,0.0022915085155930715,0.0036011436738407295,0.003567350620991357,0.0036363426608319073,26.02038166576838,True,True
S2_op10_2.50_op12_1.00,60,0.005892652189433801,0.0053024976566427295,0.0005901545327910717,0.0005482254291071064,0.0006322360718415723,3.4543202596446942,True,True
S2_op10_2.50_op12_1.50,60,0.005892652189433801,0.0054199889132427875,0.0004726632761910134,0.0004371494037071237,0.0005106416023322986,3.2011206117730593,True,True
S2_op10_2.50_op12_2.00,60,0.005892652189433801,0.005432893223395001,0.0004597589660388018,0.0004196694342054829,0.0005048157805734995,2.755742800387133,True,True
S2_op10_2.50_op12_2.50,60,0.005892652189433801,0.005361318224686025,0.0005313339647477767,0.000494124185890134,0.0005690328571132947,3.6117610026084255,True,True
S3_op10_0.50_op12_0.50,60,0.005892652189433801,0.0022789285484786726,0.0036137236409551302,0.0035807863699236493,0.003645184342522374,28.4470546295054,True,True
S3_op10_0.50_op12_1.00,60,0.005892652189433801,0.0023900596011432696,0.0035025925882905314,0.003469565390209637,0.0035339002007084854,27.29786127671963,True,True
S3_op10_0.50_op12_1.50,60,0.005892652189433801,0.002361182983543199,0.0035314692058906034,0.0035053657656482443,0.0035570650937663158,33.831403825528746,True,True
S3_op10_0.50_op12_2.00,60,0.005892652189433801,0.002342608438503308,0.0035500437509304933,0.003524969584043374,0.0035728405768248755,36.82884000190238,True,True
S3_op10_0.50_op12_2.50,60,0.005892652189433801,0.0023220566572200968,0.003570595532213705,0.0035445619789878473,0.0035962322091985977,34.31365937845008,True,True
S3_op10_1.00_op12_0.50,60,0.005892652189433801,0.0022827452060554133,0.003609906983378389,0.0035662379596666273,0.0036518737013322726,21.234527835202822,True,True
