time_offset,sb_inventory,queue_qty,queue_count,queue_occupancy,contingent_share,size_p25,size_p50,size_p75,age_p25,age_p50,age_p75,oldest_age,in_transit,op9_down,op10_down,op11_down,op12_down,recent_demand,recent_delivered,recent_fill,prior_rule,operational_day,day,state_sha256,r24,downstream,stratum,fallback,state_id,tape_id,tape_sha256,seed,family,risk_level
600.0,2477.0,7683.0,3.0,0.05,0.0,2547.0,2587.0,2588.0,60.0,96.0,204.0,312.0,2571.0,0,0,0,0,15186.0,9969.0,0.6564598972738048,spt_flat,4.0,25,6ca8e21dd1716a467c396a46903b957a9e88e25dd5a2c6cfbc221d5e9a1d19d9,0.0,0.0,nominal,False,d1v2-selection-R1-current-810004:nominal:1:25,d1v2-selection-R1-current-810004,4565b277e8a5b86345c25b1d0e5889ef230af54819797df479b94ce6ddd1ed1f,810004,R1,current
6672.0,604.0,123668.0,48.0,0.8,0.0,2568.0,2579.5,2588.25,1128.0,2412.0,4314.0,6384.0,5000.0,0,0,0,0,15164.0,15046.0,0.9922184120284885,spt_flat,5.0,278,0e6de14d76e19b877fd3b58cfa36723b6bf186dc994c82c5d5063ef649cf4002,0.0,0.0,high_occupancy,False,d1v2-selection-R1-current-810004:high_occupancy:0:278,d1v2-selection-R1-current-810004,4565b277e8a5b86345c25b1d0e5889ef230af54819797df479b94ce6ddd1ed1f,810004,R1,current
16776.0,2787.0,151473.0,59.0,0.9833333333333333,0.0,2562.5,2568.0,2572.5,3060.0,6024.0,10692.0,16032.0,4958.0,0,0,0,0,14913.0,12276.0,0.8231744115872058,spt_flat,6.0,699,7e7db02664acef29de4c8d709871d88643f73e1cb07d08a880d75fcf7dfa6698,0.0,0.0,high_occupancy,False,d1v2-selection-R1-current-810004:high_occupancy:1:699,d1v2-selection-R1-current-810004,4565b277e8a5b86345c25b1d0e5889ef230af54819797df479b94ce6ddd1ed1f,810004,R1,current
624.0,2477.0,10242.0,4.0,0.06666666666666667,0.0,2546.0,2573.0,2587.5,42.0,84.0,174.0,336.0,5000.0,0,0,0,0,15207.0,12540.0,0.8246202406786348,spt_flat,5.0,26,7e166ccf824e9d321e232c631580dbb6783715f398a3baabaac7e5e111be7685,0.0,0.0,high_age,False,d1v2-selection-R1-current-810004:high_age:0:26,d1v2-selection-R1-current-810004,4565b277e8a5b86345c25b1d0e5889ef230af54819797df479b94ce6ddd1ed1f,810004,R1,current
16752.0,259.0,151473.0,59.0,0.9833333333333333,0.0,2562.5,2568.0,2572.5,3036.0,6000.0,10668.0,16008.0,10000.0,0,0,0,0,14880.0,9762.0,0.6560483870967742,spt_flat,5.0,698,c34e7b06bdb48634f37a8b39e7b7820793a97e3335a417f45776183f445af468,0.0,0.0,high_age,False,d1v2-selection-R1-current-810004:high_age:1:698,d1v2-selection-R1-current-810004,4565b277e8a5b86345c25b1d0e5889ef230af54819797df479b94ce6ddd1ed1f,810004,R1,current
24.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0,0,0,0,0,0,0.0,spt_flat,1.0,1,2e8d2a6e0f556c225fb498cfd6a39f8ff9b7c50e11be32dd347e6a846af42efc,0.0,0.0,r24,True,d1v2-selection-R1-current-810004:r24:0:1,d1v2-selection-R1-current-810004,4565b277e8a5b86345c25b1d0e5889ef230af54819797df479b94ce6ddd1ed1f,810004,R1,current
16728.0,2745.0,151473.0,59.0,0.9833333333333333,0.0,2562.5,2568.0,2572.5,3012.0,5976.0,10644.0,15984.0,2514.0,0,0,0,0,14844.0,12314.0,0.829560765292374,spt_flat,4.0,697,805b7788e5081414eae3cfa1ec0ac3dc1094ba59cbfa8414a03789ec2d9185b1,0.0,0.0,r24,True,d1v2-selection-R1-current-810004:r24:1:697,d1v2-selection-R1-current-810004,4565b277e8a5b86345c25b1d0e5889ef230af54819797df479b94ce6ddd1ed1f,810004,R1,current
48.0,7532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2468.0,0,0,0,0,2468.0,0,0.0,spt_flat,2.0,2,22778ffd20b98ca424ad16254695114cc76e376fdf88288157cba2c1b62853cc,0.0,0.0,downstream,True,d1v2-selection-R1-current-810004:downstream:0:2,d1v2-selection-R1-current-810004,4565b277e8a5b86345c25b1d0e5889ef230af54819797df479b94ce6ddd1ed1f,810004,R1,current
16704.0,259.0,151473.0,59.0,0.9833333333333333,0.0,2562.5,2568.0,2572.5,2988.0,5952.0,10620.0,15960.0,7458.0,0,0,0,0,14892.0,12342.0,0.8287671232876712,spt_flat,3.0,696,5a105ff2b505cd13e6286d52c0ac07d1bf9ab617348c2ef426dda09e76913fea,0.0,0.0,downstream,True,d1v2-selection-R1-current-810004:downstream:1:696,d1v2-selection-R1-current-810004,4565b277e8a5b86345c25b1d0e5889ef230af54819797df479b94ce6ddd1ed1f,810004,R1,current
0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,spt_flat,0.0,0,29e49acdb1211bacd00b799607cd9b125d749c27a60a986d206370454301500c,0.0,0.0,nominal,False,d1v2-selection-R1-current-810005:nominal:0:0,d1v2-selection-R1-current-810005,c21c81c4e4c2ca005e6d591feea44678eadedde870ee43466e284a42e167492d,810005,R1,current
816.0,193.0,15316.0,6.0,0.1,0.0,2561.5,2573.0,2589.0,54.0,120.0,258.0,312.0,5000.0,0,0,0,0,15113.0,12471.0,0.8251836167537882,spt_flat,6.0,34,36bfa7b29df6cde1b25deeec023cba449b2be40ab0addf380bdf9c97e36a7109,0.0,0.0,nominal,False,d1v2-selection-R1-current-810005:nominal:1:34,d1v2-selection-R1-current-810005,c21c81c4e4c2ca005e6d591feea44678eadedde870ee43466e284a42e167492d,810005,R1,current
6432.0,858.0,123680.0,48.0,0.8,0.0,2574.75,2584.0,2592.0,1356.0,2688.0,3984.0,5904.0,0.0,0,0,0,0,14946.0,15043.0,1.0064900307774656,spt_flat,2.0,268,cd0cd4871826ac98bef5065ba9e697bb3bb06e7537ef30a1299825d6c963dd14,0.0,0.0,high_occupancy,False,d1v2-selection-R1-current-810005:high_occupancy:0:268,d1v2-selection-R1-current-810005,c21c81c4e4c2ca005e6d591feea44678eadedde870ee43466e284a42e167492d,810005,R1,current
16776.0,4220.0,151479.0,59.0,0.9833333333333333,0.0,2565.5,2571.0,2577.5,2856.0,6168.0,11052.0,16128.0,4879.0,0,0,0,0,14982.0,7304.0,0.48751835535976507,spt_flat,6.0,699,ca1df8bdc58e1bcad638315b9bf5c9f7e393dd2fc32bc63b826b84b8b807df85,0.0,0.0,high_occupancy,False,d1v2-selection-R1-current-810005:high_occupancy:1:699,d1v2-selection-R1-current-810005,c21c81c4e4c2ca005e6d591feea44678eadedde870ee43466e284a42e167492d,810005,R1,current
600.0,2664.0,7715.0,3.0,0.05,0.0,2561.5,2566.0,2579.0,84.0,96.0,216.0,336.0,2410.0,0,0,0,0,15054.0,9968.0,0.6621495947920818,spt_flat,4.0,25,a25e39d21db935f57642fe8622ff56028df0402470442ad37e98f7084bf23b9c,0.0,0.0,high_age,False,d1v2-selection-R1-current-810005:high_age:0:25,d1v2-selection-R1-current-810005,c21c81c4e4c2ca005e6d591feea44678eadedde870ee43466e284a42e167492d,810005,R1,current
16752.0,1686.0,151430.0,59.0,0.9833333333333333,0.0,2565.5,2571.0,2577.5,2832.0,6144.0,11028.0,16104.0,9876.0,0,0,0,0,14891.0,4841.0,0.32509569538647504,spt_flat,5.0,698,3ee75e1317ea3005efbac63a3717cf16ea5786147cf2cce450cc1814d9526e69,0.0,0.0,high_age,False,d1v2-selection-R1-current-810005:high_age:1:698,d1v2-selection-R1-current-810005,c21c81c4e4c2ca005e6d591feea44678eadedde870ee43466e284a42e167492d,810005,R1,current
24.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0,0,0,0,0,0,0.0,spt_flat,1.0,1,2e8d2a6e0f556c225fb498cfd6a39f8ff9b7c50e11be32dd347e6a846af42efc,0.0,0.0,r24,True,d1v2-selection-R1-current-810005:r24:0:1,d1v2-selection-R1-current-810005,c21c81c4e4c2ca005e6d591feea44678eadedde870ee43466e284a42e167492d,810005,R1,current
