family,buffer,shifts,tape,ret_excel,placed,attended,lost,fill_qty,backlog_auc_qty_weeks,backlog_peak_qty,shift_hours_per_week,warmup_hours
R1,B0,1,700008,0.005549538040919004,696,446,195,0.6467713396023768,18122161.0,154475.0,48.0,1133.0
R1,B0,2,700008,0.007816614180630089,696,693,0,0.9957980519649391,3831754.0,97087.0,96.0,1109.0
R1,B0,3,700008,0.008134807327016765,696,694,0,0.9972362258846619,3066897.0,94685.0,144.0,1108.0
R1,I168,1,700008,0.008451479975032074,696,694,0,0.9972361113490175,1154631.0,57843.0,48.0,75.0
R1,I168,2,700008,0.008544657492757846,696,694,0,0.9972362487906516,849333.0,57800.0,96.0,51.0
R1,I168,3,700008,0.008317332593712935,696,689,0,0.9888739202439705,1423731.0,57815.0,144.0,52.0
R1,I336,1,700008,0.008451479975032074,696,694,0,0.9972361113490175,1154631.0,57843.0,48.0,75.0
R1,I336,2,700008,0.008511430017246158,696,694,0,0.997236549587416,901534.0,57909.0,96.0,51.0
R1,I336,3,700008,0.008353803136571617,696,694,0,0.9972356118626626,1349538.0,57815.0,144.0,52.0
R1,I504,1,700008,0.008451479975032074,696,694,0,0.9972361113490175,1154631.0,57843.0,48.0,75.0
R1,I504,2,700008,0.00833063021332096,696,694,0,0.997236514472388,1147100.0,57907.0,96.0,51.0
R1,I504,3,700008,0.008409544282681161,696,694,0,0.9972363434647148,1011837.0,57782.0,144.0,52.0
R1,I672,1,700008,0.008451479975032074,696,694,0,0.9972361113490175,1154631.0,57843.0,48.0,75.0
R1,I672,2,700008,0.00833063021332096,696,694,0,0.9972359769484235,1147100.0,57907.0,96.0,51.0
R1,I672,3,700008,0.008321042317677696,696,694,0,0.9972372608562613,1345187.0,57878.0,144.0,52.0
R1,I1344,1,700008,0.008451479975032074,696,694,0,0.9972361113490175,1154631.0,57843.0,48.0,75.0
R1,I1344,2,700008,0.00833063021332096,696,694,0,0.9972359769484235,1147100.0,57907.0,96.0,51.0
R1,I1344,3,700008,0.008451120326740514,696,694,0,0.9972374195444007,946139.0,57898.0,144.0,52.0
R1,B0,1,700009,0.005921764307253119,696,466,174,0.6753044993011762,18086744.0,154818.0,48.0,961.0
R1,B0,2,700009,0.008725100871481649,696,694,0,0.9973429436648816,1771854.0,83023.0,96.0,937.0
R1,B0,3,700009,0.008695540218861241,696,694,0,0.9973462288587956,1592126.0,80622.0,144.0,934.0
R1,I168,1,700009,0.009074202573895861,696,694,0,0.9973461336864465,25842.0,10246.0,48.0,73.0
R1,I168,2,700009,0.009000060971183322,696,694,0,0.9973466577817397,48214.0,12685.0,96.0,49.0
R1,I168,3,700009,0.008968238382039856,696,692,0,0.9946343147898077,145465.0,22792.0,144.0,46.0
R1,I336,1,700009,0.009074202573895861,696,694,0,0.9973461336864465,25842.0,10246.0,48.0,73.0
R1,I336,2,700009,0.008756987494686489,696,694,0,0.9973462054323892,171041.0,25273.0,96.0,49.0
R1,I336,3,700009,0.009015868622447886,696,689,0,0.9901898638155372,163505.0,25202.0,144.0,46.0
R1,I504,1,700009,0.009074202573895861,696,694,0,0.9973461336864465,25842.0,10246.0,48.0,73.0
R1,I504,2,700009,0.009120778061859434,696,694,0,0.997350415533065,45863.0,12723.0,96.0,49.0
R1,I504,3,700009,0.00894519114277215,696,694,0,0.9973461863981294,0.0,0.0,144.0,46.0
R1,I672,1,700009,0.009074202573895861,696,694,0,0.9973461336864465,25842.0,10246.0,48.0,73.0
R1,I672,2,700009,0.009120778061859434,696,694,0,0.997350415533065,45863.0,12723.0,96.0,49.0
R1,I672,3,700009,0.009146216580768463,696,694,0,0.9959351723993352,22854.0,7673.0,144.0,46.0
R1,I1344,1,700009,0.009074202573895861,696,694,0,0.9973461336864465,25842.0,10246.0,48.0,73.0
R1,I1344,2,700009,0.009120778061859434,696,694,0,0.997350415533065,45863.0,12723.0,96.0,49.0
R1,I1344,3,700009,0.009102940891094233,696,694,0,0.9973460180062471,45863.0,12723.0,144.0,46.0
R1,B0,1,700010,0.005871265413321831,696,465,174,0.6730045428987479,18091350.0,155049.0,48.0,962.0
R1,B0,2,700010,0.009005162892763222,696,694,0,0.9973018605575051,1604226.0,80189.0,96.0,938.0
R1,B0,3,700010,0.008657032975736273,696,694,0,0.9972981081784442,1906486.0,80189.0,144.0,935.0
R1,I168,1,700010,0.009075692834334972,696,694,0,0.9973015851118131,25492.0,9969.0,48.0,75.0
R1,I168,2,700010,0.009125155829480544,696,694,0,0.9973022713881883,0.0,0.0,96.0,51.0
R1,I168,3,700010,0.00887925814259299,696,694,0,0.9973013647147642,201193.0,25109.0,144.0,50.0
R1,I336,1,700010,0.009075692834334972,696,694,0,0.9973015851118131,25492.0,9969.0,48.0,75.0
R1,I336,2,700010,0.009074248314314247,696,692,0,0.9944303237926843,53845.0,10265.0,96.0,51.0
R1,I336,3,700010,0.008955391159875951,696,694,0,0.9973019990035603,155271.0,27651.0,144.0,50.0
R1,I504,1,700010,0.009075692834334972,696,694,0,0.9973015851118131,25492.0,9969.0,48.0,75.0
R1,I504,2,700010,0.009122035910086103,696,694,0,0.9973022401337295,25492.0,9969.0,96.0,51.0
R1,I504,3,700010,0.009166171280924335,696,694,0,0.9973023041301778,10243.0,5080.0,144.0,50.0
