state_id,sequence_days,family,best_sequence,optimal_first_action,long_ret,long_service,delta_ret_vs_all_hold,realized_departure_pattern
dra2-calibration-assembly_scarcity-850018|prefix=threshold_5000__wait_48h,10,assembly_scarcity,HOLD|HOLD|DISPATCH_NOW|HOLD|HOLD|HOLD|HOLD|HOLD|HOLD|DISPATCH_NOW,HOLD,0.2505682341778385,8388137.0,0.057583910153145984,"[false, false, true, false, false, false, false, false, false, true]"
dra2-calibration-op8_interruption-850033|prefix=threshold_5000__wait_48h,7,op8_interruption,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD|HOLD,HOLD,0.9352455059056602,6595344.0,0.04019151614152017,"[false, true, false, true, false, false, false]"
dra2-calibration-op8_interruption-850033|prefix=threshold_5000__wait_48h,10,op8_interruption,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW,HOLD,0.9379972789553056,6474480.0,0.08610757357753607,"[false, true, false, true, false, false, true, false, false, true]"
dra2-calibration-r24_mixed-850048|prefix=threshold_5000__wait_48h,7,r24_mixed,HOLD|DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW,HOLD,0.8606313152327989,6943028.0,0.09426814347002088,"[false, true, false, false, true, false, true]"
dra2-calibration-r24_mixed-850048|prefix=threshold_5000__wait_48h,10,r24_mixed,DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD,DISPATCH_NOW,0.8617616952694288,6945116.0,0.19022525262076817,"[true, false, true, false, false, true, false, true, false, false]"
dra2-calibration-routine-850003|prefix=threshold_5000__wait_48h,7,routine,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD,HOLD,0.9423306436377147,5924439.0,0.04563651130599322,"[false, true, false, true, false, true, false]"
dra2-calibration-routine-850003|prefix=threshold_5000__wait_48h,10,routine,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD,HOLD,0.9423306436377147,5924439.0,0.08846990275919564,"[false, true, false, true, false, true, false, true, false, false]"
dra2-calibration-assembly_scarcity-850019|prefix=threshold_5000__wait_72h,7,assembly_scarcity,DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD,DISPATCH_NOW,0.5463797207649667,7123238.0,0.14096889430536041,"[true, false, false, true, false, true, false]"
dra2-calibration-op8_interruption-850034|prefix=threshold_5000__wait_72h,7,op8_interruption,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD,HOLD,0.9474841813678917,3961074.0,0.10313542258455188,"[false, true, false, true, false, true, false]"
dra2-calibration-r24_mixed-850049|prefix=threshold_5000__wait_72h,7,r24_mixed,DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD,DISPATCH_NOW,0.8200192585823309,6955641.0,0.19096270060399212,"[true, false, false, true, false, true, false]"
dra2-calibration-routine-850004|prefix=threshold_5000__wait_72h,7,routine,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD,HOLD,0.9348760955549106,5111293.0,0.10029201959374612,"[false, true, false, true, false, true, false]"
dra2-calibration-assembly_scarcity-850020|prefix=threshold_1000__wait_24h,7,assembly_scarcity,DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD,DISPATCH_NOW,0.736798291891228,8408551.0,0.3816920623652569,"[true, false, true, false, true, false, false]"
dra2-calibration-op8_interruption-850035|prefix=threshold_1000__wait_24h,7,op8_interruption,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD,HOLD,0.9316740779896213,7538098.0,0.03786141651380248,"[false, true, false, true, false, true, false]"
dra2-calibration-r24_mixed-850050|prefix=threshold_1000__wait_24h,7,r24_mixed,HOLD|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW,HOLD,0.6684580685084273,8582646.0,0.01710330050444475,"[false, false, true, false, true, false, true]"
dra2-calibration-routine-850005|prefix=threshold_1000__wait_24h,7,routine,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD,HOLD,0.9312334540330298,7567577.0,0.03761043940772191,"[false, true, false, true, false, true, false]"
dra2-calibration-assembly_scarcity-850021|prefix=threshold_2500__wait_48h,7,assembly_scarcity,DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW|HOLD,DISPATCH_NOW,0.6472020590656309,8184915.0,0.12094078177573586,"[true, false, true, false, false, true, false]"
dra2-calibration-op8_interruption-850036|prefix=threshold_2500__wait_48h,7,op8_interruption,DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD|HOLD|HOLD,DISPATCH_NOW,0.9569714481450405,6611012.0,0.0375937449156295,"[true, false, true, false, false, false, false]"
dra2-calibration-r24_mixed-850051|prefix=threshold_2500__wait_48h,7,r24_mixed,DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW,DISPATCH_NOW,0.5612678103731013,9364563.0,0.27779152546582814,"[true, false, true, false, true, false, true]"
dra2-calibration-routine-850006|prefix=threshold_2500__wait_48h,7,routine,DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW,DISPATCH_NOW,0.9745385040249626,4713304.0,0.04191393787998976,"[true, false, true, false, true, false, true]"
dra2-calibration-assembly_scarcity-850022|prefix=threshold_5000__wait_48h,7,assembly_scarcity,HOLD|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD,HOLD,0.573225217692815,5607203.0,0.19320496879265098,"[false, false, true, false, true, false, false]"
